Date,Strain,Genera,Beaker,HeatTrt,Comeup Time,MediaType,IncubationTime,Countcfu,Startingconc
4/2/24,1,Brachybacterium,,A,3:17,SPC,24,0,2665000
4/2/24,1,Brachybacterium,,A,3:17,SPC,48,1940000,2665000
4/2/24,1,Brachybacterium,,A,3:17,SPC,72,2670000,2665000
4/2/24,1,Brachybacterium,,A,3:17,PF,24,0,2665000
4/2/24,1,Brachybacterium,,A,3:17,PF,48,34500,2665000
4/2/24,1,Brachybacterium,,A,3:17,PF,72,460000,2665000
4/2/24,1,Brachybacterium,,B,3:01,SPC,24,0,2665000
4/2/24,1,Brachybacterium,,B,3:01,SPC,48,1670000,2665000
4/2/24,1,Brachybacterium,,B,3:01,SPC,72,1950000,2665000
4/2/24,1,Brachybacterium,,B,3:01,PF,24,0,2665000
4/2/24,1,Brachybacterium,,B,3:01,PF,48,56000,2665000
4/2/24,1,Brachybacterium,,B,3:01,PF,72,340000,2665000
4/2/24,1,Brachybacterium,,C,2:41,SPC,24,0,2665000
4/2/24,1,Brachybacterium,,C,2:41,SPC,48,11400,2665000
4/2/24,1,Brachybacterium,,C,2:41,SPC,72,38000,2665000
4/2/24,1,Brachybacterium,,C,2:41,PF,24,0,2665000
4/2/24,1,Brachybacterium,,C,2:41,PF,48,3200,2665000
4/2/24,1,Brachybacterium,,C,2:41,PF,72,5100,2665000
4/2/24,1,Brachybacterium,,D,2:59,SPC,24,0,2665000
4/2/24,1,Brachybacterium,,D,2:59,SPC,48,1920,2665000
4/2/24,1,Brachybacterium,,D,2:59,SPC,72,3310,2665000
4/2/24,1,Brachybacterium,,D,2:59,PF,24,0,2665000
4/2/24,1,Brachybacterium,,D,2:59,PF,48,1970,2665000
4/2/24,1,Brachybacterium,,D,2:59,PF,72,2895,2665000
4/2/24,2,Brachybacterium,,A,3:17,SPC,24,64,63500
4/2/24,2,Brachybacterium,,A,3:17,SPC,48,31100,63500
4/2/24,2,Brachybacterium,,A,3:17,SPC,72,57500,63500
4/2/24,2,Brachybacterium,,A,3:17,PF,24,16,63500
4/2/24,2,Brachybacterium,,A,3:17,PF,48,15650,63500
4/2/24,2,Brachybacterium,,A,3:17,PF,72,26750,63500
4/2/24,2,Brachybacterium,,B,3:01,SPC,24,33.5,63500
4/2/24,2,Brachybacterium,,B,3:01,SPC,48,38500,63500
4/2/24,2,Brachybacterium,,B,3:01,SPC,72,45000,63500
4/2/24,2,Brachybacterium,,B,3:01,PF,24,16,63500
4/2/24,2,Brachybacterium,,B,3:01,PF,48,24550,63500
4/2/24,2,Brachybacterium,,B,3:01,PF,72,56500,63500
4/2/24,2,Brachybacterium,,C,2:41,SPC,24,20,63500
4/2/24,2,Brachybacterium,,C,2:41,SPC,48,25400,63500
4/2/24,2,Brachybacterium,,C,2:41,SPC,72,42500,63500
4/2/24,2,Brachybacterium,,C,2:41,PF,24,19,63500
4/2/24,2,Brachybacterium,,C,2:41,PF,48,4900,63500
4/2/24,2,Brachybacterium,,C,2:41,PF,72,19050,63500
4/2/24,2,Brachybacterium,,D,2:59,SPC,24,7,63500
4/2/24,2,Brachybacterium,,D,2:59,SPC,48,1680,63500
4/2/24,2,Brachybacterium,,D,2:59,SPC,72,3650,63500
4/2/24,2,Brachybacterium,,D,2:59,PF,24,1,63500
4/2/24,2,Brachybacterium,,D,2:59,PF,48,85,63500
4/2/24,2,Brachybacterium,,D,2:59,PF,72,1875,63500
3/5/24,3,Brachybacterium,,A,2:49,SPC,24,33,315500
3/5/24,3,Brachybacterium,,A,2:49,SPC,48,6850,315500
3/5/24,3,Brachybacterium,,A,2:49,SPC,72,11800,315500
3/5/24,3,Brachybacterium,,A,2:49,PF,24,5,315500
3/5/24,3,Brachybacterium,,A,2:49,PF,48,1095,315500
3/5/24,3,Brachybacterium,,A,2:49,PF,72,14000,315500
3/5/24,3,Brachybacterium,,B,2:56,SPC,24,80,315500
3/5/24,3,Brachybacterium,,B,2:56,SPC,48,27000,315500
3/5/24,3,Brachybacterium,,B,2:56,SPC,72,107000,315500
3/5/24,3,Brachybacterium,,B,2:56,PF,24,75,315500
3/5/24,3,Brachybacterium,,B,2:56,PF,48,100000,315500
3/5/24,3,Brachybacterium,,B,2:56,PF,72,360000,315500
3/5/24,3,Brachybacterium,,C,4:00,SPC,24,39,315500
3/5/24,3,Brachybacterium,,C,4:00,SPC,48,84500,315500
3/5/24,3,Brachybacterium,,C,4:00,SPC,72,126000,315500
3/5/24,3,Brachybacterium,,C,4:00,PF,24,50,315500
3/5/24,3,Brachybacterium,,C,4:00,PF,48,18850,315500
3/5/24,3,Brachybacterium,,C,4:00,PF,72,83000,315500
3/5/24,3,Brachybacterium,,D,4:00,SPC,24,8,315500
3/5/24,3,Brachybacterium,,D,4:00,SPC,48,1410,315500
3/5/24,3,Brachybacterium,,D,4:00,SPC,72,7700,315500
3/5/24,3,Brachybacterium,,D,4:00,PF,24,10,315500
3/5/24,3,Brachybacterium,,D,4:00,PF,48,10250,315500
3/5/24,3,Brachybacterium,,D,4:00,PF,72,83000,315500
11/20/23,4,Brachybacterium,,A,NA,SPC,24,0,1330000
11/20/23,4,Brachybacterium,,A,NA,SPC,48,3,1330000
11/20/23,4,Brachybacterium,,A,NA,SPC,72,23,1330000
11/20/23,4,Brachybacterium,,A,NA,PF,24,0,1330000
11/20/23,4,Brachybacterium,,A,NA,PF,48,0.5,1330000
11/20/23,4,Brachybacterium,,A,NA,PF,72,0.5,1330000
11/20/23,4,Brachybacterium,,B,NA,SPC,24,0,1330000
11/20/23,4,Brachybacterium,,B,NA,SPC,48,0,1330000
